Название,Ссылка,Артикул,Текущая цена,Старая цена,Скидка,Бренд,Производитель,Вкусовая добавка,Рейтинг,Количество оценок,Количество отзывов,Ккал,Белки,Жиры,Углеводы,Тип,Вес (кг),Упаковка,Тип шоколада,Какао (%),Состав,Глазировка,Начинка,Вид конфет,Вид сахарозаменителя,Добавка,Тип глазировки,Объем л,Содержание сахара
Шоколад молочный миндаль вафля Россия щедрая душа 82г,https://magnit.ru/product/1000178485-shokolad_rossiya_molochnyy_s_mindalem_i_vafley_90g?shopCode=992301&shopType=6,1000178485,79.99,119.99,-33%,Россия Щедрая Душа,Нестле,Орехи,4.8,3447.0,137.0,532.0,7.5,29.0,59.0,Шоколадная плитка,0.082,флоупак,Молочный,27.0,"Сахар, масло какао, молоко сухое цельное, какао тертое, вафельная крошка (6.8%) (мука пшеничная (содержит глютен), продукты яичные, соль, разрыхлитель (гидрокарбонат натрия)), сыворотка молочная сухая, миндаль дробленый (3.1%), молочный жир, эмульгаторы (лецитины, Е476), ароматизатор натуральный. В шоколадной массе: сухой общий остаток какао - не менее 25%, сухой обезжиренный остаток какао - не менее 2.5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%",,,,,,,,
Трюфели Победа Вкуса шоколадные классические без сахара 150г,https://magnit.ru/product/1000387010-pobeda_vkusa_konfety_8108_tryufel_klassicheskiy_vkus_bez_sakhara_150g_floupak_konditerskaya_fabrika_?shopCode=992301&shopType=6,1000387010,296.99,349.99,-15%,Победа Вкуса,КФ Победа,,4.6,43.0,8.0,530.0,6.5,44.0,26.0,Трюфельные конфеты,0.15,флоупак,,,"Тертое какао, жир растительный, какао-порошок, масло какао, подсластитель (мальтит), пребиотик (инулин) (10%), сыворотка молочная сухая, сухое обезжиренное молоко, эмульгатор (лецитин соевый), подсластитель - экстракты стевии (0,03%), ароматизатор (ванилин) может содержать следы орехов, арахиса, злаков содержит подсластитель при чрезмерном употреблении может оказывать слабительное действие не содержит ГМО",Без глазировки,,Трюфель,,,,,
Шоколад Oreo Молочный с арахисовой пастой и печеньем Alpen Gold 85г,https://magnit.ru/product/1000203066-shokolad_alpen_gold_oreo_molochnyy_s_arakhisovoy_pastoy_95g?shopCode=992301&shopType=6,1000203066,74.99,129.99,-42%,Alpen Gold,Мондэлис Русь,Орехи,4.7,1000.0,34.0,542.0,5.0,32.0,58.0,Шоколадная плитка,0.085,флоупак,Молочный,25.0,"Сахар, жир растительный (масло пальмовое), печенье дробленое «Орео» (мука пшеничная, сахар, масло пальмовое, какао-порошок, сироп глюкозно-фруктозный, крахмал кукурузный, разрыхлители (гидрокарбонат натрия, гидрокарбонат аммония), соль, эмульгатор (лецитин соевый), ароматизатор, регулятор кислотности (Е524)), сыворотка сухая молочная, какао тертое, масло какао, молоко сухое цельное, жир молочный, молоко сухое обезжиренное, краситель (Е150а), эмульгаторы(лецитин соевый, Е476), ароматизаторы ""арахисовая паста», «ванилин»)",,,,,,,,
Шоколад Молочный Milka Milka 80г,https://magnit.ru/product/1000149242-shokolad_milka_molochnyy_90g?shopCode=992301&shopType=6,1000149242,99.99,199.99,-50%,Milka,Мондэлис Русь,Без добавок,4.9,5220.0,255.0,530.0,5.7,31.0,57.5,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао-масло, какао тертое, молоко сухое цельное, сыворотка сухая молочная, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, Е476), паста ореховая (фундук), ароматизатор. В молочной шоколадной массе содержание общего сухого остатка какао - не менее 25%, сухого обезжиренного остатка какао - не менее 2.5%, сухого обезжиренного остатка молока - не менее 12%, молочного жира - не менее 2.5%. Содержит фундук, молочные продукты, лецитин соевый. Может содержать следы арахиса, других орехов и пшеницы",,,,,,,,
Шоколад Delight Молочный с фундуком и макадамией без глютена Red 70г,https://magnit.ru/product/1000247883-red_shokolad_00_00000500_molochnyy_so_snizhennoy_kaloriynostyu_s_fundukom_i_makadamiey_100g_kartonna?shopCode=992301&shopType=6,1000247883,199.99,,,Red Delight,Инагро,Орехи,4.9,202.0,18.0,404.0,6.9,28.0,42.0,Шоколадная плитка,0.07,картонная упаковка,Молочный,25.0,"Подсластители: мальтит, эритрит, полидекстроза (наполнитель), масло какао, какао тертое, сухое цельное молоко, сухое обезжиренное молоко, фундук дробленный 2%, молочный жир, макадамия дробленная 1%, эмульгаторы: лецитин соевый, Е476, ароматизаторы, стевиолгликозид (подсластитель). Может содержать следы миндаля и арахиса. Содержит подсластители",,,,,,,,
Шоколад молочный с кокосовой начинкой и вафлей Milk Story 80г,https://magnit.ru/product/1000518453-konfesta_shokolad_moloch_s_kokos_nachin_i_vafley_80g?shopCode=992301&shopType=6,1000518453,59.99,79.99,-25%,Milk Story,КФ Конфеста,,4.6,622.0,63.0,550.0,7.0,345.0,54.0,Шоколадная плитка,0.08,флоупак,Молочный,,"Сахар, масло пальмовое, масло какао, сыворотка сухая молочная, какао-тертое, молоко сухое обезжиренное, молоко сухое цельное, крахмал тапиоковый, лактоза, вафельная крошка (мука пшеничная, сахар, масло кокосовое, эмульгатор - соевый лецитин, пшеничные волокна (клетчатка)), стружка кокосовая, эмульгатор – соевый лецитин, ароматизаторы. общее содержание сухого остатка какао не менее 34%, сухой обезжиренный остаток какао не менее 5,5 %, сухой обезжиренный остаток молочных продуктов не менее 18%, молочный жир не менее 2,5%",,,,,,,,
Шоколад молочный с молочной начинкой Babyfox 45г,https://magnit.ru/product/1000391920-babyfox_shok_molochnyy_s_molochnoy_nachinkoy_45g?shopCode=992301&shopType=6,1000391920,49.99,71.99,-30%,Babyfox,КДВ-Групп,,4.9,7864.0,558.0,570.0,8.0,38.0,49.0,Батончик шоколадный,0.045,флоупак,Молочный,,"Сахар, молоко сухое цельное, масло какао, какао тертое, молоко сухое обезжиренное, жир молочный, эмульгаторы: соевый лецитин, Е476; ароматизатор; начинка (сахар, масло растительное (содержит антиокислитель - концентрат смеси токоферолов), молоко сухое цельное, жир молочный, молоко сухое обезжиренное, эмульгатор соевый лецитин, соль, натуральный ароматизатор). Возможно наличие следов орехов, арахиса, глютена",Без глазировки,Молочная,,,,,,
Шоколад молочный карамель арахис Россия щедрая душа 82г,https://magnit.ru/product/1000152340-shokolad_rossiya_molochnyy_karamel_i_arakhis_90g?shopCode=992301&shopType=6,1000152340,79.99,119.99,-33%,Россия Щедрая Душа,Нестле,,4.8,4762.0,237.0,506.0,6.7,27.0,59.0,Шоколадная плитка,0.082,флоупак,Молочный,27.0,"Сахар, патока, молоко сухое цельное, масло какао, арахис жареный (6.8%), какао тертое, сыворотка молочная сухая, молочный жир, пальмовое масло, соль, эмульгаторы (лецитины, Е476), ароматизаторы натуральные. В шоколадной массе: сухой общий остаток какао - не менее 25%, сухой обезжиренный остаток какао - не менее 2.5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%. Содержание карамели в продукте - 28%",,,,,,,,
Шоколад белый Schogetten Chai Latte 100г,https://magnit.ru/product/1000562517-schogetten_shokolad_belyy_chai_latte_100g_k_u?shopCode=992301&shopType=6,1000562517,149.99,,,Schogetten,Ludwig Schokolade,,4.2,156.0,36.0,561.0,5.1,35.0,56.0,Шоколадная плитка,0.1,картонная упаковка,Белый,,"Сахар, пальмовый жир, сухое цельное молоко, какао-масло, сухая сладкая сыворотка (молоко), какао-масса, сухие сливки, лактоза, молочный жир, эмульгатор (лецитины (соевые)), ароматизаторы, 0,1% экстракт черного чая, 0,1% корица",,,,,,,,
Молочный шоколад с молочной начинкой Хрутка 90г,https://magnit.ru/product/8000010028-molochnyy_shokolad_khrutka_s_molochnoy_nachinkoy_90g?shopCode=992301&shopType=6,8000010028,89.99,164.99,-45%,Хрутка,Нестле,Прочее,4.6,145.0,9.0,548.0,54.0,32.0,60.0,Шоколадная плитка,0.09,флоупак,Молочный,25.0,"Сахар, молоко сухое цельное, жир специального назначения (из пальмового масла), масло какао, какао тертое, сыворотка молочная сухая, молочный жир, эмульгаторы (лецитины, Е476), ароматизатор натуральный",,,,,,,,
Шоколад молочный Соленый арахис и крекер Alpen Gold 80г,https://magnit.ru/product/1000115570-shokolad_alpen_gold_molochnyy_s_solenym_arakhisom_i_krekerom_85g?shopCode=992301&shopType=6,1000115570,74.99,129.99,-42%,Alpen Gold,Мондэлис Русь,Орехи,4.8,3410.0,132.0,525.0,7.7,29.0,53.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао тертое, масло какао, арахис обжаренный соленый (арахис, масло пальмовое, соль поваренная пищевая), сухое цельное молоко, сухая молочная сыворотка, крекер (мука пшеничная, жир специального назначения, солодовый сироп, глюкозный сироп, соль морская, сахар, разрыхлители (гидрокарбонат аммония, гидрокарбонат натрия), ароматизатор идентичный натуральному), молочный жир, эмульгаторы (лецитин соевый, Е476), ароматизатор ванилин идентичный натуральному. Содержит пшеницу, глютен, арахис, молочные продукты, лецитин соевый. Может содержать следы других орехов. Противопоказано при индивидуальной непереносимости к белку молока",,,,,,,,
Шоколад молочный с вафельной крошкой Победа 85г,https://magnit.ru/product/1000517945-shokolad_molochnyy_s_vafelnoy_kroshkoy_85g_fl_p_kf_pobeda?shopCode=992301&shopType=6,1000517945,64.99,,,Победа,Победа,Вафли,4.6,663.0,72.0,510.0,5.0,27.0,61.0,Шоколадная плитка,0.085,флоупак,Молочный,25.0,"Сахар, масло какао, сыворотка молочная сухая, тёртое какао, сухое цельное молоко, вафельная крошка (мука пшеничная хлебопекарная, масло растительное, крахмал (пшеничный), эмульгатор (лецитин соевый), соль, разрыхлитель гидрокарбонат натрия (сода пищевая)), пахта сухая, эмульгатор (лецитин соевый), ароматизатор (ванилин)",,,,,,,,
Шоколад белый с малиной Premiere of taste 80г,https://magnit.ru/product/1000390448-premiere_of_taste_shokolad_belyy_s_malinoy_80g?shopCode=992301&shopType=6,1000390448,129.99,,,Premiere of taste,Тандер,Прочее,4.7,971.0,93.0,555.0,3.9,32.3,62.2,Шоколадная плитка,0.08,картонная упаковка,Белый,25.0,"Сахар, масло какао, сухое цельное молоко (молоко), 5% жемчужный сахар с покрытием (сахар, свекла, малиновый ароматизатор, лимонная кислота), сухая сыворотка, лактоза (молоко), эмульгатор (соевый лецитин); ванильный ароматизатор содержит: молоко, сою может содержать следы глютена, орехов, яиц сухие вещества какао: белый шоколад мин 25%",,,,,,,,
Шоколад Победа вкуса Молочный на стевии 36% какао 100г,https://magnit.ru/product/1000148117-pobeda_vkusa_shokolad_mol_36_kakao_steviya_100g_kf_pobeda_10?shopCode=992301&shopType=6,1000148117,229.99,,,Победа Вкуса,,Стевия,4.8,925.0,100.0,470.0,12.0,32.0,34.0,Шоколадная плитка,,бумажная упаковка,Молочный,,"Какао-масло, какао тертое, сухое обезжиренное молоко, сыворотка молочная сухая, подсластитель(мальтитол), пребиотик(инулин), молоко цельное сухое, эмульгатор (лецитин соевый), натуральный подсластитель(стевия), ароматизатор(ванилин)",,,,Стевия,Без добавок,,,
Шоколад Молочный Алёнка 75г,https://magnit.ru/product/2400022587-shokolad_alenka_molochnyy_100g?shopCode=992301&shopType=6,2400022587,109.99,179.99,-38%,Алёнка,Объединенные Кондитеры,Без добавок,4.8,5305.0,219.0,550.0,8.0,33.0,54.0,Шоколадная плитка,0.075,бумажная упаковка,Молочный,30.0,"Сахар, сухое цельное молоко, масло какао, какао тёртое, эмульгаторы: лецитин соевый, Е476, ароматизаторы. Противопоказано при индивидуальной непереносимости белка молока. Массовые доли: общего сухого остатка какао - не менее 32%, сухого обезжиренного остатка какао - не менее 5,9%, сухого обезжиренного остатка молока - не менее 15,2%, молочного жира - не менее 5,4%. Возможно наличие незначительных количеств миндаля, фундука",,,,,,,,
Шоколад молочный milk&extra hazelnut Ozera 90г,https://magnit.ru/product/1000273743-o_zera_shokolad_psh504_molochnyy_hazelnut_90g_floupak_zao_kdv_pavlovskiy_possad_18?shopCode=992301&shopType=6,1000273743,131.99,149.99,-12%,Ozera,КДВ-Групп,Без добавок,4.8,29.0,3.0,570.0,8.0,39.0,47.0,Шоколадная плитка,0.09,флоупак,Молочный,27.0,"Молочный шоколад (сахар, масло какао, какао тертое, молоко сухое цельное, сухая молочная сыворотка, эмульгаторы (соевый лецитин, Е476), ароматизатор - ванилин), фундук жареный",,,,,,,,
Шоколадный батончик Milky Way 26г,https://magnit.ru/product/3113530008-batonchik_milkyway_26g?shopCode=992301&shopType=6,3113530008,24.99,,,Milky Way,Mars,,4.9,4878.0,175.0,448.0,4.3,16.4,71.0,Батончик шоколадный,0.026,флоупак,Молочный,,"Суфле: сахар, глюкозный сироп (кукурузный, пшеничный), масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, ячменный солодовый экстракт, соль, сухой яичный белок, ароматизатор «Ванилин»; молочный шоколад (общий сухой остаток какао – не менее 25%, сухой молочный остаток – не менее 21%): сахар, какао-масло, какао тертое, лактоза, сухое цельное молоко, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор «Ванилин». Содержит глютен, может содержать незначительное количество арахиса, фундука, миндаля",Молочный шоколад,Молочная,,,,,,
Шоколад Bubbles Молочный пористый с Бананово-йогуртовой начинкой Milka 87г,https://magnit.ru/product/1000324321-milka_shokolad_molochnyy_s_bananovo_yogurtovoy_nachinkoy_97g_floupak_ooo_mondelis_rus_15?shopCode=992301&shopType=6,1000324321,99.99,199.99,-50%,Milka,Мондэлис Русь,Прочее,4.8,349.0,20.0,545.0,5.1,32.0,58.0,Шоколадная плитка,0.087,флоупак,Молочный,25.0,"Сахар, масло какао, какао тертое, жир растительный (масло пальмовое), сыворотка сухая молочная, молоко сухое цельное, жир молочный, молоко сухое обезжиренное, порошок банановый, порошок йогуртовый, эмульгаторы (лецитин соевый, E476), паста ореховая (фундук), ароматизаторы, регулятор кислотности (кислота лимонная)",,,,,,,,
Батончик в белом шоколаде с фундуком и фисташкой Nuts 47г,https://magnit.ru/product/1000564184-nuts_batonchik_v_belom_shokolade_s_fundukom_i_fistashkoy_47g?shopCode=992301&shopType=6,1000564184,82.99,109.99,-24%,Nuts,Нестле,,4.7,1002.0,113.0,496.0,5.0,24.0,65.0,Батончик шоколадный,0.047,флоупак,Белый,,"Сахар, патока, жир специального назначения (из пальмового масла), масло какао, фундук целый, молоко сухое цельное, сыворотка молочная сухая, молоко сухое обезжиренное, фисташка тертая, эмульгаторы (лецитины, Е476), белок яичный сухой, ароматизаторы натуральные, краситель (медные комплексы хлорофиллинов), регулятор кислотности (лимонная кислота)",Белый шоколад,,,,,,,
Батончик шоколадный лесной орех Snickers 81г,https://magnit.ru/product/1635300123-shokoladnyy_batonchik_snickers_lesnoy_orekh_81g?shopCode=992301&shopType=6,1635300123,89.99,,,Snickers,Марс,,4.8,6566.0,210.0,507.0,7.6,27.5,56.4,Батончик шоколадный,0.081,флоупак,Молочный,,"Карамель: арахис, глюкозный сироп (кукурузный, пшеничный), фундук дробленый, сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, соль, ароматизатор «Ванилин»; молочный шоколад (общий сухой остаток какао – не менее 27%, сухой обезжиренный остаток какао – не менее 4%, сухой молочный остаток – не менее 20%, молочный жир – не менее 3, 5%): сахар, какао-масло, какао тертое, лактоза, сухое цельное молоко, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор «Ванилин»; нуга: арахис, глюкозный сироп (кукурузный, пшеничный), сахар, масло пальмовое рафинированное дезодорированное, соль, сухой яичный белок, ароматизатор «Лесной орех»",Молочный шоколад,Орехи,,,,,,
Шоколад молочный с карамельно-кремовой начинкой и арахисом Milk Story 80г,https://magnit.ru/product/1000518452-konfesta_shokolad_moloch_s_karam_krem_nachin_i_arakh_80g?shopCode=992301&shopType=6,1000518452,59.99,79.99,-25%,Milk Story,КФ Конфеста,,4.6,704.0,81.0,550.0,7.0,345.0,54.0,Шоколадная плитка,0.08,флоупак,Молочный,34.0,"Сахар, масло пальмовое, масло какао, сыворотка сухая молочная, какао-тертое, молоко сухое обезжиренное, молоко сухое цельное, порошок карамелизированный, арахис обжаренный, крахмал тапиоковый, лактоза, эмульгатор – соевый лецитин, ароматизаторы. общее содержание сухого остатка какао не менее 34%, сухой обезжиренный остаток какао не менее 5,5 %, сухой обезжиренный остаток молочных продуктов не менее 18%, молочный жир не менее 2,5%",,,,,,,,
Шоколад молочный с начинкой со вкусом капучино Alpen Gold 80г,https://magnit.ru/product/1000115572-shokolad_alpen_gold_oreo_molochnyy_s_kapuchino_85g?shopCode=992301&shopType=6,1000115572,74.99,129.99,-42%,Alpen Gold,Мондэлис Русь,Кофе,4.8,3831.0,183.0,539.0,5.1,32.0,57.0,Шоколадная плитка,0.08,флоупак,Молочный,27.0,"Сахар, какао тертое, масло какао, сухое цельное молоко, сухая молочная сыворотка, кремовая начинка капучино, молочный жир, эмульгаторы (лецитин соевый, Е476), ароматизатор ванилин идентичный натуральному. Содержит молочные продукты, лецитин соевый. Может содержать следы арахиса, других орехов и пшеницы. Общее содержание сухого остатка какао в шоколадной массе - не менее 25%. Содержание сухого обезжиренного остатка какао в шоколадной массе - не менее 3%, сухого общего остатка молока - не менее 20%. Содержание молочного жира в шоколадной массе - не менее 5%. Противопоказано при индивидуальной непереносимости к белку молока",,,,,,,,
Конфеты Победа вкуса Charged вафельные в горьком шоколаде без сахара 150г,https://magnit.ru/product/1000457680-pobeda_vkusa_konfety_vafel_v_gork_shok_b_sakh_charzhed_150g?shopCode=992301&shopType=6,1000457680,274.99,319.99,-14%,Победа Вкуса,,Горький шоколад,4.8,62.0,12.0,460.0,9.0,29.0,42.0,Вафельные конфеты,,флоупак,,,"Горький шоколад (72% какао) без добавления сахара (тертое какао, подсластитель (мальтит), какао-порошок, пребиотик (инулин), масло какао, эмульгатор (лецитин соевый), натуральная ваниль, подсластитель - экстракты стевии), мука пшеничная хлебопекарная, жир растительный, сыворотка молочная сухая, подсластитель (мальтит), пребиотик (инулин), сухое обезжиренное молоко, какао-порошок, масло растительное, эмульгатор (лецитин соевый), крахмал (пшеничный), соль, ароматизаторы (ванилин, тоффи), разрыхлитель гидрокарбонат натрия (сода пищевая), подсластитель - экстракт стевии",,,,,,Темный шоколад,0,
Шоколад Путешествие темный 46% Россия щедрая душа 82г,https://magnit.ru/product/1000090827-puteshestvie_shokolad_temnyy_90g_nestle_22?shopCode=992301&shopType=6,1000090827,78.99,105.99,-25%,Россия Щедрая Душа,Нестле,Без добавок,4.8,404.0,22.0,531.0,6.2,31.0,53.0,Шоколадная плитка,0.082,бумажная упаковка,Темный,46.0,"Сахар, какао тертое, масло какао, молочный жир, эмульгаторы (лецитины, Е476), ароматизатор натуральный, в шоколадной массе: сухой общий остаток какао - не менее 40%",,,,,,,,
Шоколад Молочный Goldschatz Ritter Sport 250г,https://magnit.ru/product/1000159245-goldschatz_shokolad_molochnyy_250g_fl_p_ritter_11?shopCode=992301&shopType=6,1000159245,349.99,469.99,-25%,Ritter Sport,Ritter Schonbuch Vermogensverwaltungs,Без добавок,4.8,498.0,67.0,573.0,7.0,39.0,46.0,Шоколадная плитка,0.25,флоупак,Молочный,40.0,"Сахар, какао тертое, масло какао, сухие сливки, лактоза, сухое обезжиренное молоко, эмульгатор (соевый лецитин), натуральный ароматизатор. может содержать следы арахиса, орехов, глютена и яиц",,,,,,,,
Шоколад молочный с изюмом и арахисом Сударушка 82г,https://magnit.ru/product/1000090833-molochnyy_shokolad_sudarushka_izyum_i_arakhis_90g?shopCode=992301&shopType=6,1000090833,79.99,125.99,-36%,Россия Щедрая Душа,Нестле,,4.8,601.0,28.0,521.0,8.7,29.0,54.0,Шоколадная плитка,0.082,флоупак,Молочный,36.0,"Сахар, какао тертое, масло какао, арахис жареный (10.7%), изюм (8.7%), молоко сухое цельное, сыворотка молочная сухая, молоко сухое обезжиренное, эмульгаторы (лецитины, Е476), ароматизатор натуральный. В шоколадной массе: сухой общий остаток какао - не менее 33%, сухой обезжиренный остаток какао - не менее 2.5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%",,,,,,,,
Шоколад молочный с цельным миндалем вкус меда Россия Gold Selection 80г,https://magnit.ru/product/1000517766-rossiya_gold_selection_shok_molochnyy_tselnyy_mindal_med_80g?shopCode=992301&shopType=6,1000517766,104.99,,,Россия Щедрая Душа,Нестле,Орехи,4.7,98.0,8.0,554.0,8.8,34.0,52.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, масло какао, молоко сухое цельное, миндаль цельный, какао тертое, миндаль дробленый, сыворотка молочная сухая, молочный жир, эмульгаторы (лецитины, Е476), ароматизаторы натуральные. В молочной шоколадной массе: сухой общий остаток какао - не менее 25%, сухой обезжиренный остаток какао - не менее 2.5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%",,,,,,,,
Шоколад Молочный ореховая паста с миндалем Milka 80г,https://magnit.ru/product/1000309125-milka_shokolad_molochnyy_orekhovaya_pasta_s_mindalem_90g_floupak_ooo_mondelis_rus_20?shopCode=992301&shopType=6,1000309125,99.99,199.99,-50%,Milka,Мондэлис Русь,Орехи,4.8,258.0,14.0,561.0,5.5,35.0,55.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, жир растительный, сыворотка сухая молочная, масло какао, какао тертое, паста ореховая из миндаля, миндаль карамелизированный с добавлением соли, молоко сухое цельное, жир молочный, молоко сухое обезжиренное, эмульгаторы, паста ореховая из фундука, ароматизаторы",,,,,,,,
Шоколад Победа вкуса без сахара темный 100г,https://magnit.ru/product/1000095276-pobeda_vkusa_shokolad_temnyy_bez_sakhara_100g_kf_pobeda_10?shopCode=992301&shopType=6,1000095276,239.99,,,Победа Вкуса,,Без добавок,4.8,161.0,16.0,460.0,8.5,33.0,33.0,Шоколадная плитка,,бумажная упаковка,Темный,,"Тертое какао, мальтит (подсластители), сыворотка молочная сухая, масло какао, инулин (пребиотик), какао порошок, эмульгатор (лецитин соевый), натуральная ваниль, стевия (натуральный подсластитель)",,,,,Без добавок,,,
Батончик сливочный Обыкновенное чудо 55г,https://magnit.ru/product/1633576064-batonchik_obyknovennoe_chudo_55g?shopCode=992301&shopType=6,1633576064,39.99,57.99,-31%,Обыкновенное Чудо,Славянка КО,,4.8,2230.0,98.0,522.0,7.7,30.6,58.4,Батончик шоколадный,0.055,флоупак,Молочный,,"Сахар, мука пшеничная, жир растительный (масло растительное, антиокислители: аскорбиновая кислота, Е307), эквивалент масла какао (масла растительные, эмульгатор: лецитин соевый, антиокислители: Е306, кислота лимонная), сыворотка молочная сухая, масло кокосовое, молоко сухое обезжиренное, крахмал кукурузный, арахис тертый, какао тертое, заменитель масла какао (масла растительные, эмульгаторы: Е492, лецитин соевый, антиокислитель: Е306), какао-порошок, ядра фундука тертые, эмульгаторы (лецитин соевый, Е476), сливки сухие, соль, разрыхлитель: гидрокарбонат натрия, ароматизатор, улучшитель качества вафель (крахмал пшеничный, ферментные препараты: бактериальная протеаза, ксиланаза), регулятор кислотности: лимонная кислота",Шоколадная глазурь,Кремовая,,,,,,
Паста шоколадно-молочная Lucky Days 350г,https://magnit.ru/product/1000274699-pasta_shokoladno_molochnaya_lucky_days_350g?shopCode=992301&shopType=6,1000274699,189.99,,,Lucky Days,Петерпак,,4.6,2084.0,123.0,560.0,3.0,35.0,58.0,Шоколадная паста,0.35,пластиковый стакан,,,"Сахар, растительные масла, молоко сухое обезжиренное, сыворотка молочная сухая, какао-порошок, порошок плодов рожкового дерева, эмульгатор (лецитин соевый), ароматизаторы, антиокислитель (Е306). Продукт содержит незначительные количества продуктов переработки сои",,,,,,,,
Молочный шоколад с фундуком Сударушка 82г,https://magnit.ru/product/1000090832-sudarushka_molochnyy_shokolad_s_fundukom_90g_nestle_20?shopCode=992301&shopType=6,1000090832,79.99,125.99,-36%,Россия Щедрая Душа,Нестле,Орехи,4.8,475.0,29.0,530.0,7.8,29.0,56.0,Шоколадная плитка,0.082,флоупак,Молочный,36.0,"Сахар, какао тертое, масло какао, молоко сухое цельное, вафельная крошка (6,8%) (мука пшеничная (содержит глютен), продукты яичные, соль, разрыхлитель (гидрокарбонат натрия)), фундук дробленый (4,8%), сыворотка молочная сухая, молоко сухое обезжиренное, эмульгаторы (лецитины, Е476), ароматизатор натуральный в шоколадной массе: сухой общий остаток какао - не менее 33%, сухой обезжиренный остаток какао - не менее 2,5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2,5%",,,,,,,,
Шоколад молочный с рисовым криспом Победа 85г,https://magnit.ru/product/1000517946-shokolad_molochnyy_s_risovym_krispom_85g_fl_p_kf_pobeda?shopCode=992301&shopType=6,1000517946,64.99,,,Победа,Победа,Воздушный рис,4.7,603.0,48.0,500.0,5.0,26.0,62.0,Шоколадная плитка,0.085,флоупак,Молочный,25.0,"Сахар, масло какао, сыворотка молочная сухая, тёртое какао, продукт экструдированных круп «рис воздушный» (крупа рисовая, мука пшеничная, сахар, соль), сухое цельное молоко, пахта сухая, эмульгатор (лецитин соевый), ароматизатор (ванилин)",,,,,,,,
Шоколад Bubbles Молочный пористый с кокосовой начинкой Milka 87г,https://magnit.ru/product/1000184362-shokolad_milka_bubbles_molochnyy_poristyy_s_kokosom_97g?shopCode=992301&shopType=6,1000184362,99.99,199.99,-50%,Milka,Мондэлис Русь,Кокос,4.8,926.0,42.0,541.0,5.7,31.0,57.5,Шоколадная плитка,0.087,флоупак,Молочный,25.0,"Шоколад молочный (сахар, масло какао, какао тертое, молоко сухое цельное, сыворотка сухая молочная, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, Е476), паста ореховая (фундук), ароматизатор), начинка (сахар, жир растительный, молоко сухое цельное, сыворотка сухая молочная, стружка кокосовая, масло какао, какао тертое, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый Е476, лецитин подсолнечный), паста ореховая (фундук), ароматизатор). содержит молочные продукты, фундук, лецитин соевый. может содержать следы арахиса, других орехов и пшеницы",,,,,,,,
Шоколад Молочный с лесным орехом и миндалем Merci 100г,https://magnit.ru/product/1000143956-merci_moloch_shokolad_drob_lesn_orekh_mind_100g_k_up_shtork_15?shopCode=992301&shopType=6,1000143956,189.99,269.99,-29%,Merci,August Storck,Орехи,4.9,86.0,10.0,578.0,7.1,38.2,50.6,Шоколадная плитка,0.1,картонная упаковка,Молочный,32.0,"Сахар, цельное сухое молоко (16,7%), какао-масло, кусочки лесных орехов (15%), кусочки миндаля (5%), сухая пахта, лактоза, какао тертое, эмульгатор: соевый лецитин, экстракт ванили",,,,,,,,
Шоколад белый цельный миндаль кокос Россия Gold Selection 80г,https://magnit.ru/product/1000517767-rossiya_gold_selection_shok_belyy_tselnyy_mindal_kokos_80g?shopCode=992301&shopType=6,1000517767,104.99,,,Россия Щедрая Душа,Нестле,,4.7,138.0,9.0,563.0,7.4,35.0,54.0,Шоколадная плитка,0.08,флоупак,Белый,25.0,"Сахар, масло какао, молоко сухое цельное, миндаль цельный, сыворотка молочная сухая, миндаль дробленый, кокосовая стружка, эмульгаторы  (лецитины, Е476), ароматизаторы натуральные в белой шоколадной массе: сухой общий остаток какао - не менее 20%",,,,,,,,
Шоколад Победа вкуса без сахара темный 100г,https://magnit.ru/product/1000095275-pobeda_vkusa_shokolad_gorkiy_bez_sakhara_100g_kf_pobeda_10?shopCode=992301&shopType=6,1000095275,269.99,,,Победа Вкуса,,Без добавок,4.8,611.0,63.0,450.0,10.0,35.0,24.0,Шоколадная плитка,,бумажная упаковка,Горький,,"Какао тертое, мальтитол (подсластитель), какао-порошок, пребиотик (инулин), какао-масло, ароматизатор (ванилин), эмульгатор (лецитин), натуральный подсластитель (стевия)",,,,,Без добавок,,,
