name,price,rus_brand,premium,rating,no_sugar,kcal,package,type,cocoa,filling_NUTS,filling_BERRIES,filling_SNACKS,filling_DESSERT,filling_EXOTIC,emulsifiers
Шоколад молочный Соленый арахис и крекер Alpen Gold 80г,74.99,1,0,4.8,0,525.0,флоупак,Молочный,25.0,1,0,1,0,0,1
Шоколад молочный с вафельной крошкой Победа 85г,64.99,1,0,4.6,0,510.0,флоупак,Молочный,25.0,0,0,1,0,0,0
Шоколад белый с малиной Premiere of taste 80г,129.99,0,0,4.7,0,555.0,картонная упаковка,Белый,25.0,0,1,0,0,0,0
Шоколад Молочный Алёнка 75г,109.99,1,0,4.8,0,550.0,бумажная упаковка,Молочный,30.0,0,0,0,0,0,1
Шоколад молочный milk&extra hazelnut Ozera 90г,131.99,1,0,4.8,0,570.0,флоупак,Молочный,27.0,1,0,0,0,0,1
Шоколад Bubbles Молочный пористый с Бананово-йогуртовой начинкой Milka 87г,99.99,0,0,4.8,0,545.0,флоупак,Молочный,25.0,0,0,0,1,0,0
Шоколад молочный с карамельно-кремовой начинкой и арахисом Milk Story 80г,59.99,1,0,4.6,0,550.0,флоупак,Молочный,34.0,1,0,0,1,0,0
Шоколад молочный с начинкой со вкусом капучино Alpen Gold 80г,74.99,1,0,4.8,0,539.0,флоупак,Молочный,27.0,0,0,0,1,0,1
Шоколад Путешествие темный 46% Россия щедрая душа 82г,78.99,1,0,4.8,0,531.0,бумажная упаковка,Темный,46.0,0,0,0,0,0,1
Шоколад молочный с изюмом и арахисом Сударушка 82г,79.99,1,0,4.8,0,521.0,флоупак,Молочный,36.0,1,1,0,0,0,1
Шоколад молочный с цельным миндалем вкус меда Россия Gold Selection 80г,104.99,1,0,4.7,0,554.0,флоупак,Молочный,25.0,1,0,0,0,1,1
Шоколад Молочный ореховая паста с миндалем Milka 80г,99.99,0,0,4.8,0,561.0,флоупак,Молочный,25.0,1,0,0,1,0,0
Молочный шоколад с фундуком Сударушка 82г,79.99,1,0,4.8,0,530.0,флоупак,Молочный,36.0,1,0,0,0,0,1
Шоколад молочный с рисовым криспом Победа 85г,64.99,1,0,4.7,0,500.0,флоупак,Молочный,25.0,0,0,1,0,0,0
Шоколад Bubbles Молочный пористый с кокосовой начинкой Milka 87г,99.99,0,0,4.8,0,541.0,флоупак,Молочный,25.0,0,0,0,0,1,1
Шоколад Молочный с лесным орехом и миндалем Merci 100г,189.99,0,0,4.9,0,578.0,картонная упаковка,Молочный,32.0,1,0,0,0,0,0
Шоколад белый цельный миндаль кокос Россия Gold Selection 80г,104.99,1,0,4.7,0,563.0,флоупак,Белый,25.0,1,0,0,0,1,1
Шоколад Молочный Цельный лесной орех Ritter Sport 100г,189.99,0,0,4.9,0,576.0,флоупак,Молочный,30.0,1,0,0,0,0,0
Шоколад с миндалем 55% Бабаевский 90г,169.99,1,0,4.8,0,567.0,бумажная упаковка,Темный,55.0,1,0,0,0,0,1
Шоколад Молочный с разноцветным драже Алёнка 90г,139.99,1,0,4.8,0,540.0,бумажная упаковка,Молочный,30.0,0,0,1,0,0,1
Шоколад Клубничный йогурт Schogetten 100г,119.99,0,0,4.8,0,563.0,картонная упаковка,Молочный,30.0,0,0,0,1,0,1
Шоколад Oreo Alpen Gold 85г,69.99,1,0,4.8,0,541.0,флоупак,Молочный,25.0,0,0,1,0,0,1
Шоколад темный грушевый тарт со вкусом маскарпоне 42% Вдохновение 100г,188.99,1,0,4.8,0,550.0,картонная упаковка,Темный,42.0,0,0,0,1,1,0
Шоколад молочный Popcorn Schogetten 100г,149.99,0,0,4.7,0,554.0,картонная упаковка,Молочный,30.0,0,0,1,0,0,0
Шоколад Extra Milk Ozera 90г,131.99,1,0,4.7,0,560.0,картонная упаковка,Молочный,31.0,0,0,0,0,0,0
Шоколад молочный Соленая карамель Ritter Sport 100г,159.99,0,0,4.8,0,535.0,флоупак,Молочный,33.0,0,0,0,1,0,0
Шоколад белый с лимонной начинкой Ritter Sport 100г,169.99,0,0,4.7,0,589.0,флоупак,Белый,0.0,0,0,0,0,1,0
Шоколад молочный Клубника со сливками Алёнка 87г,119.99,1,0,4.7,0,520.0,флоупак,Молочный,30.0,0,1,0,1,0,0
Шоколад Горький 55% Бабаевский 75г,149.99,1,0,4.8,0,540.0,бумажная упаковка,Горький,55.0,0,0,0,0,0,1
Шоколад молочный орех Bucheron Blanc Edition 85г,174.99,0,1,4.8,0,530.0,картонная упаковка,Молочный,35.0,1,0,0,0,0,1
Шоколад Темный с апельсиновыми кусочками и миндалем Бабаевский 75г,149.99,1,0,4.9,0,536.0,бумажная упаковка,Темный,55.0,1,0,0,0,1,1
Шоколад Классический темный Вдохновение 90г,159.99,1,0,4.8,0,579.0,картонная упаковка,Темный,75.0,0,0,0,0,0,0
Шоколад Aerated молочный пористый Alpen Gold 80г,89.99,1,0,4.8,0,527.0,флоупак,Молочный,25.0,0,0,0,0,0,1
Шоколад с молочной начинкой Kinder Chocolate 8шт*12.5г,199.99,0,0,4.9,0,561.0,картонная упаковка,Молочный,13.0,0,0,0,1,0,0
Шоколад темный яркий апельсин Ritter Sport 100г,159.99,0,0,4.7,0,490.0,флоупак,Темный,50.0,0,0,0,0,1,0
Шоколад молочный с хрустящими шариками Хрутка 88г,98.99,1,0,4.5,0,543.0,флоупак,Молочный,30.0,0,0,1,0,0,1
Шоколад темный с цельным миндалем Ritter Sport 50% 100г,186.99,0,0,4.8,0,560.0,флоупак,Темный,50.0,1,0,0,0,0,0
Шоколад Молочный с цельным фундуком Milka 80г,99.99,0,0,4.9,0,555.0,флоупак,Молочный,25.0,1,0,0,0,0,1
Шоколад молочный Какао мусс Ritter Sport 100г,159.99,0,0,4.8,0,569.0,флоупак,Молочный,30.0,0,0,0,1,0,0
Шоколад молочный с ореховой нугой Schogetten 100г,149.99,0,0,4.7,0,547.0,картонная упаковка,Молочный,30.0,1,0,0,1,0,0
Шоколад Молочный Лесной орех Ritter Sport 100г,159.99,0,0,4.8,0,557.0,флоупак,Молочный,30.0,1,0,0,0,0,0
Шоколад Maxibon Мороженое и печенье Россия щедрая душа 80г,89.99,1,0,4.7,0,544.0,флоупак,Молочный,25.0,0,0,1,1,0,0
Шоколад темный с миндалем 44% Российский 75/82г,74.99,1,0,4.8,0,529.0,флоупак,Темный,44.0,1,0,0,0,0,1
Шоколад Neo/Eco Botanica Горький с вишней и экстрактом черники 72% 85г,198.99,1,0,4.8,0,530.0,бумажная упаковка,Горький,72.0,0,1,0,0,0,0
Шоколад молочный фундук изюм Россия щедрая душа 82г,79.99,1,0,4.8,0,525.0,флоупак,Молочный,27.0,1,1,0,0,0,1
Шоколад Gold Selection темный фундук 40% Россия щедрая душа 85г,99.99,1,0,4.6,0,543.0,флоупак,Темный,40.0,1,0,0,0,0,1
Шоколад молочный миндаль изюм Россия щедрая душа 82г,79.99,1,0,4.8,0,514.0,флоупак,Молочный,30.0,1,1,0,0,0,1
Шоколад темный с имбирным печеньем Бабаевский 90г,149.99,1,0,4.7,0,510.0,бумажная упаковка,Темный,40.0,0,0,1,0,1,0
Шоколад темный Апельсины в ликёре Dy Nastie 45% 100г,109.99,1,0,4.6,0,520.0,картонная упаковка,Темный,45.0,0,1,0,0,1,1
Шоколад Bitter Горький 70% Alpen Gold 75г,179.99,1,0,4.7,0,530.0,флоупак,Горький,70.0,0,0,0,0,0,0
Шоколад белый Schogetten Blonde Almond 100г,149.99,0,0,4.8,0,553.0,картонная упаковка,Белый,0.0,1,0,0,0,0,0
Шоколад Aerated темный пористый Alpen Gold 80/75г,89.99,1,0,4.7,0,516.0,флоупак,Темный,40.0,0,0,0,0,0,1
Шоколад темный с фундуком 55% Бабаевский 90г,169.99,1,0,4.8,0,560.0,бумажная упаковка,Темный,55.0,1,0,0,0,0,0
Шоколад горький Победа вкуса 72% 100г,189.99,1,0,4.8,0,510.0,бумажная упаковка,Горький,72.0,0,0,0,0,0,0
Шоколад темный клубничный тарт с миндалем 42% Вдохновение 100г,199.99,1,0,4.8,0,570.0,картонная упаковка,Темный,42.0,1,1,0,1,0,0
Шоколад молочный с кусочками кренделя Ritter Sport 100г,169.99,0,0,4.8,0,518.0,флоупак,Молочный,33.0,0,0,1,0,0,0
Шоколад Red Delight Темный с апельсином и миндалем 70г,219.99,1,0,4.8,1,305.0,картонная упаковка,Темный,40.0,1,0,0,0,1,1
Шоколад Ozera горький без сахара с апельсином 90г,174.99,1,0,4.8,0,470.0,картонная упаковка,Горький,75.0,0,0,0,0,1,0
Шоколад Bubbles Молочный пористый с начинкой со вкусом Капучино Milka 87г,99.99,0,0,4.9,0,550.0,флоупак,Молочный,25.0,0,0,0,1,0,0
Шоколад Молочный Кофе и Сливки Merci 100г,198.99,0,0,4.9,0,515.0,картонная упаковка,Молочный,33.0,0,0,0,1,0,0
Шоколад с фундуком и изюмом Milka 80г,99.99,0,0,4.8,0,495.0,флоупак,Молочный,25.0,1,1,0,0,0,1
Шоколад Славянка горький с какао Особый 85% 88г,219.99,1,0,4.8,0,570.0,бумажная упаковка,Горький,85.0,0,0,0,0,0,0
Шоколад молочный взрывная карамель Алёнка 75г,109.99,1,0,4.8,0,540.0,бумажная упаковка,Молочный,30.0,0,0,0,1,0,1
Шоколад Ozera горький без сахара с фундуком 90г,174.99,1,0,4.8,0,510.0,картонная упаковка,Горький,75.0,1,0,0,0,0,0
Шоколад молочный с кусочками клюквы и орехом лещины Ritter Sport 100г,159.99,0,0,4.8,0,518.0,флоупак,Молочный,30.0,1,1,0,0,0,0
Шоколад Горький с цельным миндалем Белочка 55% 100г,179.99,1,0,4.8,0,558.0,картонная упаковка,Горький,55.0,1,0,0,0,0,0
Шоколад Молочный с цельным фундуком Белочка 100г,159.99,1,0,4.5,0,554.0,картонная упаковка,Молочный,25.0,1,0,0,0,0,0
Шоколад горький апельсин орех Bucheron Blanc Edition 72% 85г,174.99,0,1,4.8,0,550.0,картонная упаковка,Горький,72.0,1,0,0,0,1,0
Шоколад молочный черника Libertad 80г,159.99,1,0,4.8,0,525.0,картонная упаковка,Молочный,25.0,0,1,0,0,0,0
Шоколад Молочный с фундуком и изюмом Алёнка 90г,129.99,1,0,4.7,0,560.0,бумажная упаковка,Молочный,31.0,1,1,0,0,0,1
Шоколад темный Schogetten Blonde Pure 100г,149.99,0,0,4.8,0,541.0,картонная упаковка,Темный,50.0,0,0,0,0,0,0
Шоколад Extra milk&Hazelnut Ozera 90г,139.99,1,0,4.9,0,570.0,картонная упаковка,Молочный,27.0,1,0,0,0,0,0
Шоколад темный с цедрой апельсина и миндалем 40% Россия щедрая душа 82г,79.99,1,0,4.8,0,524.0,флоупак,Темный,40.0,1,0,0,0,1,0
Кондитерская плитка молочная с арахисом Хорошая компания 80г,44.99,1,0,4.3,0,570.0,флоупак,Молочный,30.0,1,0,0,0,0,0
Шоколад молочный с молоком и ванилью Ritter Sport 100г,169.99,0,0,4.8,0,563.0,флоупак,Молочный,33.0,0,0,0,0,1,0
Шоколад темный Вишня в ликёре Dy Nastie 48% 100г,109.99,1,0,4.6,0,520.0,картонная упаковка,Темный,48.0,0,1,0,0,0,1
Шоколад белый миндаль-клюква-клубника Bucheron Village 100г,244.99,0,1,4.5,0,565.0,картонная упаковка,Белый,35.0,1,1,0,0,0,0
Шоколад Горький с миндалем Вдохновение 90г,199.99,1,0,4.7,0,540.0,картонная упаковка,Горький,75.0,1,0,0,0,0,1
Шоколад молочный с арахисом карамелью овсяным печеньем Степ 90г,45.99,1,0,4.7,0,261.0,флоупак,Молочный,25.0,1,0,1,0,0,1
Шоколад Молочный с ромом изюмом и орехами Ritter Sport 100г,159.99,0,0,4.9,0,510.0,флоупак,Молочный,30.0,1,1,0,0,0,0
Шоколад Молочный Merci 100г,189.99,0,0,4.8,0,578.0,картонная упаковка,Молочный,32.0,1,0,0,1,0,0
Шоколад молочный Ореховая паста с фундуком Milka 85/80г,99.99,0,0,4.9,0,572.0,флоупак,Молочный,25.0,1,0,0,1,0,0
Шоколад Темный Миндаль и апельсин Ritter Sport 50% 100г,159.99,0,0,4.9,0,531.0,флоупак,Темный,50.0,1,0,0,0,1,0
Шоколад молочный Печенье и карамель Алёнка 87г,119.99,1,0,4.8,0,530.0,флоупак,Молочный,30.0,0,0,1,1,0,1
Шоколад Молочный порционный Алёнка 90г,219.99,1,0,4.8,0,538.0,бумажная упаковка,Молочный,35.0,0,0,0,0,0,1
Шоколад горький Bucheron Standart 72% 100г,359.99,0,1,4.9,0,514.0,картонная упаковка,Горький,72.0,0,0,0,0,0,0
Шоколад Темный Мята Ritter Sport 50% 100г,159.99,0,0,4.8,0,493.0,флоупак,Темный,50.0,0,0,0,0,1,0
Шоколад молочный крем-банан Алёнка 87г,119.99,1,0,4.3,0,520.0,флоупак,Молочный,34.0,0,0,0,1,1,0
Шоколад горький с апельсином Bucheron Original 72% 90г,188.99,0,1,4.9,0,490.0,картонная упаковка,Горький,72.0,0,0,0,0,1,0
Шоколад Славянка молочный Особый 90г,129.99,1,0,4.9,0,525.0,картонная упаковка,Молочный,25.0,0,0,0,0,0,0
Шоколад горький с фундуком Bucheron Standart 100г,359.99,0,1,4.9,1,534.0,картонная упаковка,Горький,72.0,1,0,0,0,0,0
Шоколад молочный Особый 85г,144.99,1,0,4.7,0,500.0,бумажная упаковка,Молочный,54.0,0,0,0,0,0,0
Шоколад Молочный с альпийским молоком Ritter Sport 100г,159.99,0,0,4.8,0,542.0,флоупак,Молочный,30.0,0,0,0,0,0,0
Шоколад Славянка Карамельный белый с солью Особый 88г,124.99,1,0,4.7,0,544.0,картонная упаковка,Белый,0.0,0,0,0,0,1,0
Шоколад со злаками Kinder Chocolate 4шт*23.5г,239.99,0,0,4.9,0,561.0,флоупак,Молочный,13.0,0,0,1,0,0,0
Шоколад Молочный порционный Алёнка 100г,249.99,1,0,4.4,0,670.0,бумажная упаковка,Молочный,33.0,0,0,0,0,0,0
Шоколад Молочный Кокос Ritter Sport 100г,159.99,0,0,4.8,0,593.0,флоупак,Молочный,30.0,0,0,0,0,1,0
Шоколад темный малиновый тарт с фисташкой 42% Вдохновение 100г,199.99,1,0,4.9,0,570.0,картонная упаковка,Темный,42.0,1,1,0,1,0,0
Шоколад молочный с кусочками малины Bucheron Standart 100г,329.99,0,1,4.9,0,544.0,картонная упаковка,Молочный,5.0,0,1,0,0,0,0
Шоколад горький Bucheron Original 72% 90г,194.99,0,1,4.7,0,520.0,картонная упаковка,Горький,72.0,0,0,0,0,0,1
Шоколад молочный с цельным миндалем Milka 80г,99.99,0,0,4.9,0,553.0,флоупак,Молочный,25.0,1,0,0,0,0,1
Шоколад Молочный пористый Алёнка 90г,149.99,1,0,4.7,0,580.0,бумажная упаковка,Молочный,30.0,0,0,0,0,0,0
Шоколад Темный Марципан Ritter Sport 50% 100г,159.99,0,0,4.9,0,493.0,флоупак,Темный,50.0,1,0,0,0,0,0
